mode,scenario,task,immediate_acc,final_acc,delta
herding_stateful,unknown,subject_8,0.9024390243902439,0.18728222996515678,-0.7151567944250872
herding_stateful,unknown,subject_9,0.6385017421602788,0.24738675958188153,-0.3911149825783973
herding_stateful,unknown,subject_10,0.8448125544899738,0.33129904097646035,-0.5135135135135135
herding_stateful,unknown,subject_11,0.6231505657093125,0.30113141862489123,-0.32201914708442125
herding_stateful,unknown,subject_12,0.6440382941688425,0.2619669277632724,-0.3820713664055701
herding_stateful,unknown,subject_13,0.8442123585726719,0.6144473455178416,-0.2297650130548302
herding_stateful,unknown,subject_14,0.7933740191804708,0.4027898866608544,-0.3905841325196164
herding_stateful,unknown,subject_15,0.8470181503889369,0.46499567847882456,-0.38202247191011235
herding_stateful,unknown,subject_16,0.8682842287694974,0.5103986135181976,-0.3578856152512998
herding_stateful,unknown,subject_17,0.9075993091537133,0.48877374784110533,-0.418825561312608
herding_stateful,unknown,subject_18,0.7025151777970512,0.4336513443191674,-0.2688638334778838
herding_stateful,unknown,subject_19,0.854419410745234,0.5051993067590987,-0.34922010398613523
herding_stateful,unknown,subject_20,0.9299913569576491,0.12532411408815902,-0.8046672428694901
herding_stateful,unknown,subject_21,0.9542709232096636,0.5133735979292493,-0.44089732528041425
herding_stateful,unknown,subject_22,0.7681034482758621,0.31810344827586207,-0.45
herding_stateful,unknown,subject_23,0.8145580589254766,0.36915077989601386,-0.44540727902946275
herding_stateful,unknown,subject_24,0.8904227782571182,0.3080241587575496,-0.5823986194995686
herding_stateful,unknown,subject_25,0.874675885911841,0.665514261019879,-0.209161624891962
herding_stateful,unknown,subject_26,0.8376511226252159,0.6597582037996546,-0.17789291882556135
herding_stateful,unknown,subject_27,0.5726718885987816,0.5726718885987816,0.0
herding_stateful,cil,Subject_5_Exercise_1,0.1559233449477352,0.35452961672473865,0.19860627177700346
herding_stateful,cil,Subject_5_Exercise_2,0.5147783251231527,0.42980295566502463,-0.08497536945812806
herding_stateful,cil,Subject_5_Exercise_3,0.43637753152464653,0.43637753152464653,0.0
herding_stateful,cil,Subject_9_Exercise_1,0.5226480836236934,0.2508710801393728,-0.2717770034843206
herding_stateful,cil,Subject_9_Exercise_2,0.6795817958179582,0.21463714637146372,-0.4649446494464945
herding_stateful,cil,Subject_9_Exercise_3,0.5238095238095238,0.5238095238095238,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.4181184668989547,0.028745644599303136,-0.3893728222996516
ewc_stateful,cil,Subject_9_Exercise_2,0.6832718327183271,0.6586715867158671,-0.024600246002460024
ewc_stateful,cil,Subject_9_Exercise_3,0.25483630952380953,0.25483630952380953,0.0
herding_stateful,cil,Subject_10_Exercise_1,0.0959023539668701,0.31386224934612034,0.21795989537925026
herding_stateful,cil,Subject_10_Exercise_2,0.23232944068838352,0.2980946527350953,0.06576521204671176
herding_stateful,cil,Subject_10_Exercise_3,0.13043478260869565,0.13043478260869565,0.0
herding_stateful,cil,Subject_4_Exercise_1,0.6259808195292066,0.2598081952920663,-0.3661726242371403
herding_stateful,cil,Subject_4_Exercise_2,0.7867240319606638,0.3257529194837124,-0.4609711124769514
herding_stateful,cil,Subject_4_Exercise_3,0.1389751552795031,0.1389751552795031,0.0
herding_stateful,cil,Subject_7_Exercise_1,0.12816041848299914,0.38796861377506536,0.2598081952920662
herding_stateful,cil,Subject_7_Exercise_2,0.04419889502762431,0.10742786985880909,0.06322897483118478
herding_stateful,cil,Subject_7_Exercise_3,0.17968185104844542,0.17968185104844542,0.0
herding_stateful,cil,Subject_9_Exercise_1,0.4268292682926829,0.15940766550522648,-0.2674216027874564
herding_stateful,cil,Subject_9_Exercise_2,0.12423124231242312,0.22570725707257072,0.1014760147601476
herding_stateful,cil,Subject_9_Exercise_3,0.17373511904761904,0.17373511904761904,0.0
herding_stateful,cil,Subject_5_Exercise_1,0.6951219512195121,0.11933797909407666,-0.5757839721254355
herding_stateful,cil,Subject_5_Exercise_2,0.1330049261083744,0.12438423645320197,-0.008620689655172417
herding_stateful,cil,Subject_5_Exercise_3,0.08139090561711884,0.08139090561711884,0.0
ewc_stateful,cil,Subject_5_Exercise_1,0.48693379790940766,0.003484320557491289,-0.48344947735191635
